家居用品,家庭装饰品,镜子,-,0.82%,0.4%,0.26%,0.09%,39.26%
家居用品,家庭装饰品,储蓄罐,-,1.73%,0.96%,1.21%,0.79%,15.63%
家居用品,家庭装饰品,音乐盒,-,0.84%,0.46%,0.46%,0.23%,26.8%
家居用品,家庭装饰品,其它礼品工艺品,-,6.81%,2.91%,1.56%,0.96%,53.24%
家居用品,家庭装饰品,书法绘画,-,28.15%,20.09%,13.85%,5.38%,166.1%
家居用品,家庭装饰品,相册,-,2.81%,2.05%,1.54%,1.67%,16.21%
家居用品,家庭装饰品,装饰牌、板,-,0.68%,0.26%,0.12%,0.05%,28.01%
家居用品,家庭装饰品,屏风和隔断,-,0.38%,0.24%,0.19%,0.02%,15.69%
家居用品,家庭装饰品,花瓶,-,2.88%,2.02%,1.14%,0.88%,32.47%
家居用品,家庭装饰品,墙贴,-,37.74%,34.76%,28.64%,51.82%,93.76%
家居用品,家用储存收藏用具,衣物收纳,-,1.46%,0.76%,0.28%,0.19%,82.15%
家居用品,家用储存收藏用具,家用办公收纳用品,-,0.67%,0.26%,0.0%,0.0%,22.6%
家居用品,家用储存收藏用具,钩子和栏杆,-,11.0%,8.65%,3.9%,6.93%,204.26%
家居用品,家用储存收藏用具,厨房收纳用品,-,10.29%,6.64%,2.08%,3.62%,79.88%
家居用品,家用储存收藏用具,洗衣收纳用品,-,9.69%,7.65%,5.7%,5.89%,126.21%
家居用品,家用储存收藏用具,收纳包,-,37.21%,30.5%,27.25%,26.31%,95.67%
家居用品,家用储存收藏用具,收纳篮,-,9.13%,6.92%,3.3%,2.27%,80.11%
家居用品,家用储存收藏用具,收纳瓶和收纳罐,-,11.53%,7.94%,2.73%,1.86%,76.28%
家居用品,家用储存收藏用具,收纳盒和收纳箱（有关婴儿食品储存的请发布到婴儿食品存储盒下）,-,47.52%,46.78%,44.0%,40.02%,99.17%
家居用品,家用储存收藏用具,收纳抽屉,-,1.49%,0.77%,0.21%,0.07%,58.61%
家居用品,家用储存收藏用具,收纳架,-,21.56%,17.97%,11.68%,15.08%,82.06%
家居用品,家纺成品,床裙,-,0.47%,0.23%,0.16%,0.07%,53.11%
家居用品,家纺成品,床上成套纺织用品（婴儿用的请发布到婴儿床上套件）,-,18.35%,14.43%,14.34%,4.82%,113.84%
家居用品,家纺成品,床罩,-,0.83%,0.49%,0.12%,0.05%,28.34%
家居用品,家纺成品,毯子（婴儿用的请发布到婴儿毛毯/裹毯下）,-,8.49%,5.12%,4.17%,2.44%,87.41%
家居用品,家纺成品,地毯,-,9.93%,7.1%,9.04%,5.17%,44.2%
家居用品,家纺成品,椅套,-,4.18%,2.66%,7.09%,2.09%,77.52%
